          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
0248 d4c4 rol r1, r4, r6 // icount 292
024a d3b3 srl r4, r3, r5 // icount 293
024c df76 xor r5, r7, r3 // icount 294
024e fdfc sco r7, r5, r7 // icount 295
0250 e3d0 seq r4, r3, r6 // icount 296
0252 df75 sub r5, r7, r3 // icount 297
0254 d434 rol r5, r4, r1 // icount 298
0256 ee00 slt r0, r6, r0 // icount 299
0258 d8bc add r7, r0, r5 // icount 300
025a d698 rol r6, r6, r4 // icount 301
025c db77 andn r5, r3, r3 // icount 302
025e f798 sle r6, r7, r4 // icount 303
0260 d017 srl r5, r0, r0 // icount 304
0262 d8ff andn r7, r0, r7 // icount 305
0264 d172 ror r4, r1, r3 // icount 306
0266 d629 sll r2, r6, r1 // icount 307
0268 ffdc sco r7, r7, r6 // icount 308
026a de39 sub r6, r6, r1 // icount 309
026c de2d sub r3, r6, r1 // icount 310
026e f7a0 sle r0, r7, r5 // icount 311
0270 ed14 slt r5, r5, r0 // icount 312
0272 db75 sub r5, r3, r3 // icount 313
0274 d567 srl r1, r5, r3 // icount 314
0276 d515 sll r5, r5, r0 // icount 315
0278 d4b1 sll r4, r4, r5 // icount 316
027a d042 ror r0, r0, r2 // icount 317
027c d993 andn r4, r1, r4 // icount 318
027e d9a3 andn r0, r1, r5 // icount 319
0280 d8ad sub r3, r0, r5 // icount 320
0282 d43f srl r7, r4, r1 // icount 321
0284 d228 rol r2, r2, r1 // icount 322
0286 ef8c slt r3, r7, r4 // icount 323
0288 d8d3 andn r4, r0, r6 // icount 324
028a d37d sll r7, r3, r3 // icount 325
028c d31f srl r7, r3, r0 // icount 326
028e d492 ror r4, r4, r4 // icount 327
0290 eca4 slt r1, r4, r5 // icount 328
0292 ee10 slt r4, r6, r0 // icount 329
0294 e0b8 seq r6, r0, r5 // icount 330
0296 ef94 slt r5, r7, r4 // icount 331
0298 dab7 andn r5, r2, r5 // icount 332
029a dddd sub r7, r5, r6 // icount 333
029c f214 sle r5, r2, r0 // icount 334
029e d9cc add r3, r1, r6 // icount 335
02a0 d65f srl r7, r6, r2 // icount 336
02a2 d100 rol r0, r1, r0 // icount 337
02a4 e048 seq r2, r0, r2 // icount 338
02a6 d3bc rol r7, r3, r5 // icount 339
02a8 de67 andn r1, r6, r3 // icount 340
02aa d90c add r3, r1, r0 // icount 341
02ac ffb8 sco r6, r7, r5 // icount 342
02ae d7ec rol r3, r7, r7 // icount 343
02b0 f81c sco r7, r0, r0 // icount 344
02b2 dc7d sub r7, r4, r3 // icount 345
02b4 ef3c slt r7, r7, r1 // icount 346
02b6 d837 andn r5, r0, r1 // icount 347
02b8 ded4 add r5, r6, r6 // icount 348
02ba fb70 sco r4, r3, r3 // icount 349
02bc daac add r3, r2, r5 // icount 350
02be d671 sll r4, r6, r3 // icount 351
02c0 e350 seq r4, r3, r2 // icount 352
02c2 d3da ror r6, r3, r6 // icount 353
02c4 edf4 slt r5, r5, r7 // icount 354
02c6 ff68 sco r2, r7, r3 // icount 355
02c8 d044 rol r1, r0, r2 // icount 356
02ca d64a ror r2, r6, r2 // icount 357
02cc d2c2 ror r0, r2, r6 // icount 358
02ce      .rlabel_5:
02ce 6006 beqz r0, .rlabel_6 // icount 359
02d0 dcd3 andn r4, r4, r6 // icount 360
02d2 e394 seq r5, r3, r4 // icount 361
02d4 d8cf andn r3, r0, r6 // icount 362
02d6      .rlabel_6:
02d6 30c0 jal .rlabel_7 // icount 363
02d8 db21 sub r0, r3, r1 // icount 364
02da d064 rol r1, r0, r3 // icount 365
02dc dd95 sub r5, r5, r4 // icount 366
02de d78d sll r3, r7, r4 // icount 367
02e0 dbb4 add r5, r3, r5 // icount 368
02e2 db28 add r2, r3, r1 // icount 369
02e4 d3ff srl r7, r3, r7 // icount 370
02e6 dcd5 sub r5, r4, r6 // icount 371
02e8 d8e4 add r1, r0, r7 // icount 372
02ea d37a ror r6, r3, r3 // icount 373
02ec dd21 sub r0, r5, r1 // icount 374
02ee edb0 slt r4, r5, r5 // icount 375
02f0 f33c sle r7, r3, r1 // icount 376
02f2 ffbc sco r7, r7, r5 // icount 377
02f4 d4ba ror r6, r4, r5 // icount 378
02f6 dbd2 xor r4, r3, r6 // icount 379
02f8 dd8a xor r2, r5, r4 // icount 380
02fa da7f andn r7, r2, r3 // icount 381
02fc ec44 slt r1, r4, r2 // icount 382
02fe d810 add r4, r0, r0 // icount 383
0300 fad8 sco r6, r2, r6 // icount 384
0302 d1a4 rol r1, r1, r5 // icount 385
0304 f498 sle r6, r4, r4 // icount 386
0306 d69d sll r7, r6, r4 // icount 387
0308 d685 sll r1, r6, r4 // icount 388
030a d997 andn r5, r1, r4 // icount 389
030c f738 sle r6, r7, r1 // icount 390
030e d48e ror r3, r4, r4 // icount 391
0310 d425 sll r1, r4, r1 // icount 392
0312 d70c rol r3, r7, r0 // icount 393
0314 db76 xor r5, r3, r3 // icount 394
0316 dddc add r7, r5, r6 // icount 395
0318 d45b srl r6, r4, r2 // icount 396
031a d05e ror r7, r0, r2 // icount 397
031c d898 add r6, r0, r4 // icount 398
031e fb90 sco r4, r3, r4 // icount 399
0320 de97 andn r5, r6, r4 // icount 400
0322 fb14 sco r5, r3, r0 // icount 401
0324 d553 srl r4, r5, r2 // icount 402
0326 d29a ror r6, r2, r4 // icount 403
0328 d92b andn r2, r1, r1 // icount 404
032a e8fc slt r7, r0, r7 // icount 405
032c d107 srl r1, r1, r0 // icount 406
032e de25 sub r1, r6, r1 // icount 407
0330 d356 ror r5, r3, r2 // icount 408
0332 dc34 add r5, r4, r1 // icount 409
0334 d396 ror r5, r3, r4 // icount 410
0336 ff4c sco r3, r7, r2 // icount 411
0338 d718 rol r6, r7, r0 // icount 412
033a d570 rol r4, r5, r3 // icount 413
033c ea0c slt r3, r2, r0 // icount 414
033e d8d5 sub r5, r0, r6 // icount 415
0340 d6f2 ror r4, r6, r7 // icount 416
0342 d079 sll r6, r0, r3 // icount 417
0344 dd89 sub r2, r5, r4 // icount 418
0346 f4a8 sle r2, r4, r5 // icount 419
0348 dc8b andn r2, r4, r4 // icount 420
034a d67a ror r6, r6, r3 // icount 421
034c d31b srl r6, r3, r0 // icount 422
034e d6ec rol r3, r6, r7 // icount 423
0350 daad sub r3, r2, r5 // icount 424
0352 ff54 sco r5, r7, r2 // icount 425
0354 d3f2 ror r4, r3, r7 // icount 426
0356 e8f8 slt r6, r0, r7 // icount 427
0358 dacb andn r2, r2, r6 // icount 428
035a ea70 slt r4, r2, r3 // icount 429
035c ee5c slt r7, r6, r2 // icount 430
035e d8c6 xor r1, r0, r6 // icount 431
0360 e2d4 seq r5, r2, r6 // icount 432
0362 e7e4 seq r1, r7, r7 // icount 433
0364 df58 add r6, r7, r2 // icount 434
0366 f590 sle r4, r5, r4 // icount 435
0368 d226 ror r1, r2, r1 // icount 436
036a de9e xor r7, r6, r4 // icount 437
036c d99e xor r7, r1, r4 // icount 438
036e d871 sub r4, r0, r3 // icount 439
0370 dee4 add r1, r6, r7 // icount 440
0372 ebc0 slt r0, r3, r6 // icount 441
0374 f13c sle r7, r1, r1 // icount 442
0376 dd8b andn r2, r5, r4 // icount 443
0378 dbfa xor r6, r3, r7 // icount 444
037a d96c add r3, r1, r3 // icount 445
037c e808 slt r2, r0, r0 // icount 446
037e d0d8 rol r6, r0, r6 // icount 447
0380 f7a4 sle r1, r7, r5 // icount 448
0382 f0ec sle r3, r0, r7 // icount 449
0384 de55 sub r5, r6, r2 // icount 450
0386 dbb6 xor r5, r3, r5 // icount 451
0388 da67 andn r1, r2, r3 // icount 452
038a da3a xor r6, r2, r1 // icount 453
038c f390 sle r4, r3, r4 // icount 454
038e ff80 sco r0, r7, r4 // icount 455
0390 d63b srl r6, r6, r1 // icount 456
0392 e9a8 slt r2, r1, r5 // icount 457
0394 d05b srl r6, r0, r2 // icount 458
0396 dfb3 andn r4, r7, r5 // icount 459
0398      .rlabel_7:
0398 600a beqz r0, .rlabel_8 // icount 460
039a d41d sll r7, r4, r0 // icount 461
039c dfbb andn r6, r7, r5 // icount 462
039e e6e8 seq r2, r6, r7 // icount 463
03a0 d294 rol r5, r2, r4 // icount 464
03a2 d501 sll r0, r5, r0 // icount 465
03a4      .rlabel_8:
03a4 7214 bltz r2, .rlabel_9 // icount 466
03a6 df0e xor r3, r7, r0 // icount 467
03a8 d5ec rol r3, r5, r7 // icount 468
03aa e080 seq r0, r0, r4 // icount 469
03ac e754 seq r5, r7, r2 // icount 470
03ae d93b andn r6, r1, r1 // icount 471
03b0 dc14 add r5, r4, r0 // icount 472
03b2 d0a5 sll r1, r0, r5 // icount 473
03b4 d297 srl r5, r2, r4 // icount 474
03b6 de58 add r6, r6, r2 // icount 475
03b8 d13e ror r7, r1, r1 // icount 476
03ba      .rlabel_9:
03ba 20aa j .rlabel_10 // icount 477
03bc f874 sco r5, r0, r3 // icount 478
03be de66 xor r1, r6, r3 // icount 479
03c0 fac8 sco r2, r2, r6 // icount 480
03c2 f250 sle r4, r2, r2 // icount 481
03c4 fa30 sco r4, r2, r1 // icount 482
03c6 d1e6 ror r1, r1, r7 // icount 483
03c8 fb90 sco r4, r3, r4 // icount 484
03ca d57d sll r7, r5, r3 // icount 485
03cc d732 ror r4, r7, r1 // icount 486
03ce e9fc slt r7, r1, r7 // icount 487
03d0 d500 rol r0, r5, r0 // icount 488
03d2 f580 sle r0, r5, r4 // icount 489
03d4 fff4 sco r5, r7, r7 // icount 490
03d6 fb38 sco r6, r3, r1 // icount 491
03d8 db75 sub r5, r3, r3 // icount 492
03da db48 add r2, r3, r2 // icount 493
03dc d287 srl r1, r2, r4 // icount 494
03de d319 sll r6, r3, r0 // icount 495
03e0 fcdc sco r7, r4, r6 // icount 496
03e2 d895 sub r5, r0, r4 // icount 497
03e4 fe30 sco r4, r6, r1 // icount 498
03e6 da00 add r0, r2, r0 // icount 499
03e8 e308 seq r2, r3, r0 // icount 500
03ea d157 srl r5, r1, r2 // icount 501
03ec db31 sub r4, r3, r1 // icount 502
03ee e78c seq r3, r7, r4 // icount 503
03f0 d046 ror r1, r0, r2 // icount 504
03f2 edfc slt r7, r5, r7 // icount 505
03f4 d4ec rol r3, r4, r7 // icount 506
03f6 d381 sll r0, r3, r4 // icount 507
03f8 d7e6 ror r1, r7, r7 // icount 508
03fa e15c seq r7, r1, r2 // icount 509
03fc db28 add r2, r3, r1 // icount 510
03fe d190 rol r4, r1, r4 // icount 511
0400 f6a4 sle r1, r6, r5 // icount 512
0402 e140 seq r0, r1, r2 // icount 513
0404 d940 add r0, r1, r2 // icount 514
0406 e5d8 seq r6, r5, r6 // icount 515
0408 de1b andn r6, r6, r0 // icount 516
040a fe80 sco r0, r6, r4 // icount 517
040c eb60 slt r0, r3, r3 // icount 518
040e d488 rol r2, r4, r4 // icount 519
0410 d383 srl r0, r3, r4 // icount 520
0412 fbfc sco r7, r3, r7 // icount 521
0414 e808 slt r2, r0, r0 // icount 522
0416 d32f srl r3, r3, r1 // icount 523
0418 ff2c sco r3, r7, r1 // icount 524
041a fa2c sco r3, r2, r1 // icount 525
041c d9aa xor r2, r1, r5 // icount 526
041e e0bc seq r7, r0, r5 // icount 527
0420 ef58 slt r6, r7, r2 // icount 528
0422 dd75 sub r5, r5, r3 // icount 529
0424 e180 seq r0, r1, r4 // icount 530
0426 d138 rol r6, r1, r1 // icount 531
0428 dda0 add r0, r5, r5 // icount 532
042a dbbe xor r7, r3, r5 // icount 533
042c dfdf andn r7, r7, r6 // icount 534
042e fff4 sco r5, r7, r7 // icount 535
0430 e580 seq r0, r5, r4 // icount 536
0432 da25 sub r1, r2, r1 // icount 537
0434 fdec sco r3, r5, r7 // icount 538
0436 d587 srl r1, r5, r4 // icount 539
0438 d3c7 srl r1, r3, r6 // icount 540
043a e294 seq r5, r2, r4 // icount 541
043c fb08 sco r2, r3, r0 // icount 542
043e d04d sll r3, r0, r2 // icount 543
0440 dc02 xor r0, r4, r0 // icount 544
0442 e960 slt r0, r1, r3 // icount 545
0444 ddef andn r3, r5, r7 // icount 546
0446 d612 ror r4, r6, r0 // icount 547
0448 e19c seq r7, r1, r4 // icount 548
044a fc18 sco r6, r4, r0 // icount 549
044c d366 ror r1, r3, r3 // icount 550
044e e5c0 seq r0, r5, r6 // icount 551
0450 dfdf andn r7, r7, r6 // icount 552
0452 d5bf srl r7, r5, r5 // icount 553
0454 d15d sll r7, r1, r2 // icount 554
0456 d50b srl r2, r5, r0 // icount 555
0458 d793 srl r4, r7, r4 // icount 556
045a dc6c add r3, r4, r3 // icount 557
045c ea8c slt r3, r2, r4 // icount 558
045e e804 slt r1, r0, r0 // icount 559
0460 d326 ror r1, r3, r1 // icount 560
0462 d536 ror r5, r5, r1 // icount 561
0464 d072 ror r4, r0, r3 // icount 562
0466      .rlabel_10:
0466 3068 jal .rlabel_11 // icount 563
0468 f8bc sco r7, r0, r5 // icount 564
046a dd05 sub r1, r5, r0 // icount 565
046c f120 sle r0, r1, r1 // icount 566
046e e950 slt r4, r1, r2 // icount 567
0470 fd08 sco r2, r5, r0 // icount 568
0472 d004 rol r1, r0, r0 // icount 569
0474 d6dd sll r7, r6, r6 // icount 570
0476 edac slt r3, r5, r5 // icount 571
0478 de7e xor r7, r6, r3 // icount 572
047a dc54 add r5, r4, r2 // icount 573
047c d977 andn r5, r1, r3 // icount 574
047e de22 xor r0, r6, r1 // icount 575
0480 d586 ror r1, r5, r4 // icount 576
0482 fdc8 sco r2, r5, r6 // icount 577
0484 de63 andn r0, r6, r3 // icount 578
0486 f354 sle r5, r3, r2 // icount 579
0488 e61c seq r7, r6, r0 // icount 580
048a dec1 sub r0, r6, r6 // icount 581
048c d984 add r1, r1, r4 // icount 582
